負責人,全名,負責單位,啟用年
OP-132,OP-132（外包）,研發,2019
OP-119,OP-119（一廠）,資材,2022
OP-134,OP-134（一廠）,製造,2025
OP-127,OP-127（外包）,資材,2021
OP-125,OP-125（二廠）,研發,2024
OP-128,OP-128（二廠）,資材,2021
OP-142,OP-142（外包）,製造,2019
OP-112,OP-112（一廠）,製造,2022
OP-130,OP-130（外包）,研發,2024
OP-144,OP-144（外包）,營運,2025
OP-116,OP-116（二廠）,研發,2024
OP-139,OP-139（二廠）,品保,2021
OP-104,OP-104（外包）,製造,2022
OP-148,OP-148（一廠）,製造,2021
OP-121,OP-121（一廠）,品保,2025
OP-120,OP-120（二廠）,製造,2019
OP-109,OP-109（一廠）,製造,2022
OP-141,OP-141（二廠）,品保,2024
OP-147,OP-147（外包）,資材,2019
OP-111,OP-111（一廠）,研發,2021
OP-110,OP-110（一廠）,品保,2024
OP-122,OP-122（一廠）,資材,2022
OP-103,OP-103（二廠）,製造,2021
OP-107,OP-107（外包）,製造,2024
OP-131,OP-131（一廠）,資材,2019
OP-135,OP-135（外包）,品保,2024
OP-113,OP-113（二廠）,資材,2021
OP-126,OP-126（二廠）,製造,2022
OP-136,OP-136（一廠）,資材,2024
OP-114,OP-114（一廠）,營運,2019
OP-145,OP-145（外包）,資材,2019
OP-118,OP-118（一廠）,品保,2019
OP-146,OP-146（外包）,資材,2021
OP-115,OP-115（一廠）,營運,2022
OP-102,OP-102（二廠）,研發,2021
OP-106,OP-106（外包）,資材,2024
OP-123,OP-123（外包）,營運,2025
OP-138,OP-138（二廠）,製造,2022
OP-105,OP-105（二廠）,製造,2019
OP-124,OP-124（二廠）,研發,2019
OP-101,OP-101（外包）,研發,2025
OP-137,OP-137（一廠）,營運,2019
OP-117,OP-117（外包）,營運,2025
OP-108,OP-108（二廠）,研發,2025
OP-133,OP-133（二廠）,製造,2022
OP-129,OP-129（外包）,品保,2025
OP-143,OP-143（一廠）,營運,2019
OP-140,OP-140（二廠）,製造,2019
